gen,cand,arm_ke,arm_kd,hand_ke,hand_kd,friction,object_mass,joint_armature,add_apple_0,add_baseball_0,add_beige_brush_2,add_donut_0,add_coffee_tin_0,mean_add
12,1,3093.1,17.505,5.79,1.4812,0.36197,0.082169,0.076708,0.03398,0.00209,0.02703,0.05108,0.07661,0.03816
12,2,18017,305.65,13.124,1.582,0.44461,0.41684,0.016533,0.03166,0.00209,0.03670,0.05660,0.04759,0.03493
12,3,16244,133.51,20.608,5.2971,0.2346,0.22928,0.056355,0.02917,0.00209,0.03095,0.05350,0.06187,0.03552
12,4,16235,115.92,5.6694,12.627,0.24094,0.36502,0.0075794,0.02529,0.00209,0.02834,0.05009,0.05651,0.03246
12,5,5752.6,217.14,6.6204,0.84164,0.75001,0.041351,0.076803,0.02546,0.00209,0.03285,0.05439,0.04861,0.03268
12,6,11389,57.671,6.0245,2.5603,0.20682,0.2971,0.093252,0.02466,0.00209,0.02955,0.05051,0.04620,0.03060
12,7,7674.4,58.406,5.0192,1.6907,1.428,0.29351,0.080096,1.00000,0.00209,0.02684,0.04927,0.08436,0.23251
13,0,8851.6,23.93,8.3279,2.7489,0.4529,0.18868,0.08876,0.03371,0.00209,0.04633,0.05489,0.07085,0.04157
13,1,19851,442.54,30.678,0.47968,0.22559,0.55277,0.015057,0.03266,0.00209,0.02672,0.05200,0.05109,0.03291
13,2,19993,132.22,5.0022,2.9124,0.30101,0.28044,0.018437,0.03063,0.00209,0.03755,0.05519,0.04980,0.03505
13,3,18612,36.27,7.2224,2.6549,0.64051,0.14106,0.033607,0.03049,0.00209,0.03120,0.05221,0.04559,0.03232
13,4,9193.5,13.432,14.608,5.8425,0.42217,0.089501,0.010205,0.02611,0.00210,0.02936,0.04969,0.05907,0.03327
13,5,15815,10.093,9.768,0.73868,0.57823,0.065217,0.067227,0.02549,0.00209,0.03152,0.05591,0.06179,0.03536
13,6,18852,221.57,20.093,1.0107,0.20165,0.47444,0.027743,0.02484,0.00209,0.02982,0.05043,0.04772,0.03098
13,7,10490,131.35,5.093,10.041,0.34201,0.23586,0.064589,1.00000,0.00209,0.02672,0.04962,0.04435,0.22456
14,0,14645,20.764,6.3864,2.0092,0.20902,0.43917,0.088822,0.05515,0.00209,0.04549,0.05654,0.04695,0.04124
14,1,19966,98.165,18.588,0.84423,0.39402,0.46049,0.036772,0.03376,0.00209,0.02638,0.05200,0.04586,0.03202
14,2,16958,57.793,17.748,1.7081,0.20033,0.4797,0.037466,0.03028,0.00209,0.04113,0.05541,0.04883,0.03555
14,3,12487,72.26,6.0016,1.5534,0.21721,0.19741,0.027186,0.03064,0.00209,0.02934,0.05212,0.04861,0.03256
14,4,19798,41.802,71.333,1.8961,0.43777,0.97617,0.072951,0.02614,0.00209,0.02895,0.04974,0.04840,0.03106
14,5,18411,20.817,5.133,0.90557,0.49281,0.12342,0.076202,0.02554,0.00209,0.03399,0.05590,0.07290,0.03808
14,6,18606,150.94,5.9676,4.5202,0.4342,0.39785,0.016892,0.02557,0.00209,0.02898,0.05013,0.05176,0.03171
14,7,5194.1,38.51,17.951,1.2222,0.23418,0.14951,0.022647,1.00000,0.00209,0.02659,0.04958,0.04592,0.22484
15,0,16546,112.39,35.536,1.904,0.82679,0.45631,0.089421,0.03283,0.00209,0.04961,0.05524,0.07017,0.04199
15,1,18501,51.636,25.728,1.725,0.20381,0.28289,0.027224,0.03254,0.00209,0.02692,0.05088,0.05135,0.03276
15,2,12636,103.05,38.856,1.112,0.26523,0.54389,0.099299,0.03163,0.00209,0.03759,0.05438,0.04664,0.03447
15,3,12965,18.8,56.859,1.4753,0.9979,0.70545,0.0347,0.03005,0.00209,0.03051,0.05210,0.07334,0.03762
15,4,6344.1,107.78,27.364,0.64868,0.47337,0.32241,0.069332,0.02599,0.00209,0.03220,0.04962,0.04977,0.03194
15,5,4684.9,116.43,337.14,3.9658,0.25411,0.91136,0.025526,0.02485,0.00209,0.03287,0.05415,0.04960,0.03271
